Months,2018,2019,2020,Growth 2019/18 (%),Growth 2020/19 (%),% Share 2020
January,1045027,1111040,1119250,6.3,0.7,40.78
February,1049259,1090516,1018440,3.9,-6.6,37.1
March,1021539,978236,328304,-4.2,-66.4,11.96
April,745033,774651,2820,4,-99.6,0.1
May,606513,615136,3764,1.4,-99.4,0.14
June,683935,726446,8590,6.2,-98.8,0.31
July,806493,818125,12655,1.4,-98.5,0.46
August,785993,800837,19761,1.9,-97.5,0.72
September,719894,751513,28167,4.4,-96.3,1.03
October,890223,945017,41494,6.2,-95.6,1.51
November,1012569,1092440,70977,7.9,-93.5,2.59
December,1191498,1226398,90544,2.9,-92.6,3.3
Total,10557976,10930355,2744766,3.5,-74.9,100
